id,name,price_vnd,cpu,ram_gb,vga,battery_wh,screen_size,category,cpu_norm,vga_norm,price_vnd_norm,ram_gb_norm,battery_wh_norm,screen_size_norm
11,HP Pavilion 14,25000000,Intel Core i5-1240P,8,Intel Iris Xe,50,14.0,Office,0.5,0.3,0.25806451612903225,0.0,0.16666666666666666,0.2592592592592591
12,HP ENVY 13,41000000,Intel Core i7-1365U,16,Intel Iris Xe,51,13.3,Business,0.8,0.3,0.7741935483870968,0.3333333333333333,0.1875,0.0
13,HP Omen 16,37000000,Intel Core i7-13700HX,32,NVIDIA RTX 4060,83,16.0,Gaming,0.8,1.0,0.6451612903225806,1.0,0.8541666666666666,1.0
14,Lenovo ThinkPad X1 Carbon Gen 11,43000000,Intel Core i7-1365U,16,Intel Iris Xe,57,14.0,Business,0.8,0.3,0.8387096774193549,0.3333333333333333,0.3125,0.2592592592592591
15,Lenovo IdeaPad 3,19000000,AMD Ryzen 5 5500U,8,AMD Radeon,45,15.6,Student,0.5,0.2,0.06451612903225806,0.0,0.0625,0.8518518518518516
16,Lenovo Legion 5 Pro,40000000,AMD Ryzen 7 7840HS,32,NVIDIA RTX 4060,80,16.0,Gaming,0.8,1.0,0.7419354838709677,1.0,0.7916666666666666,1.0
17,Microsoft Surface Laptop 5,31000000,Intel Core i7-1265U,16,Intel Iris Xe,47,13.5,Office,0.8,0.3,0.45161290322580644,0.3333333333333333,0.10416666666666667,0.07407407407407383
18,MSI Prestige 14 Evo,32000000,Intel Core i7-13620H,16,Intel Iris Xe,62,14.0,Office,0.8,0.3,0.4838709677419355,0.3333333333333333,0.4166666666666667,0.2592592592592591
19,LG Gram 16,48000000,Intel Core i7-1365U,16,Intel Iris Xe,80,16.0,Business,0.8,0.3,1.0,0.3333333333333333,0.7916666666666666,1.0
20,Samsung Galaxy Book3 Pro,34000000,Intel Core i7-1360P,16,Intel Iris Xe,68,15.6,Office,0.8,0.3,0.5483870967741935,0.3333333333333333,0.5416666666666666,0.8518518518518516
21,Dell XPS 13 Plus,25000000,Intel Core i5-1340P,16,Intel Iris Xe,52,13.4,Office,0.5,0.3,0.25806451612903225,0.3333333333333333,0.20833333333333334,0.03703703703703692
22,Dell XPS 15,46000000,Intel Core i7-13700H,16,NVIDIA RTX 4050,86,15.6,Designer,0.8,1.0,0.9354838709677419,0.3333333333333333,0.9166666666666666,0.8518518518518516
23,Apple MacBook Air M3,17000000,Apple M3,16,Apple Integrated,52,13.6,Student,0.9,0.2,0.0,0.3333333333333333,0.20833333333333334,0.11111111111111074
24,Apple MacBook Pro M3,43000000,Apple M3 Pro,32,Apple Integrated,70,14.2,Business,0.9,0.2,0.8387096774193549,1.0,0.5833333333333334,0.33333333333333287
25,Acer Aspire 5,19000000,Intel Core i3-1215U,8,Intel UHD,48,15.6,Student,0.3,0.2,0.06451612903225806,0.0,0.125,0.8518518518518516
26,Acer Swift 3,30000000,AMD Ryzen 5 7530U,16,AMD Radeon,56,14.0,Office,0.5,0.2,0.41935483870967744,0.3333333333333333,0.2916666666666667,0.2592592592592591
27,Acer Nitro 5,41000000,Intel Core i5-12500H,16,NVIDIA RTX 3050,57,15.6,Gaming,0.5,0.8,0.7741935483870968,0.3333333333333333,0.3125,0.8518518518518516
28,Asus Vivobook 15,22000000,Intel Core i5-1235U,8,Intel Iris Xe,42,15.6,Student,0.5,0.3,0.16129032258064516,0.0,0.0,0.8518518518518516
29,Asus ROG Strix G16,43000000,AMD Ryzen 9 7945HX,32,NVIDIA RTX 4070,90,16.0,Gaming,1.0,1.0,0.8387096774193549,1.0,1.0,1.0
30,Asus Zenbook 14,34000000,Intel Core i7-1360P,16,Intel Iris Xe,67,14.0,Office,0.8,0.3,0.5483870967741935,0.3333333333333333,0.5208333333333334,0.2592592592592591
31,HP Pavilion 14,25000000,Intel Core i5-1240P,8,Intel Iris Xe,50,14.0,Office,0.5,0.3,0.25806451612903225,0.0,0.16666666666666666,0.2592592592592591
32,HP ENVY 13,41000000,Intel Core i7-1365U,16,Intel Iris Xe,51,13.3,Business,0.8,0.3,0.7741935483870968,0.3333333333333333,0.1875,0.0
33,HP Omen 16,37000000,Intel Core i7-13700HX,32,NVIDIA RTX 4060,83,16.0,Gaming,0.8,1.0,0.6451612903225806,1.0,0.8541666666666666,1.0
34,Lenovo ThinkPad X1 Carbon Gen 11,43000000,Intel Core i7-1365U,16,Intel Iris Xe,57,14.0,Business,0.8,0.3,0.8387096774193549,0.3333333333333333,0.3125,0.2592592592592591
35,Lenovo IdeaPad 3,19000000,AMD Ryzen 5 5500U,8,AMD Radeon,45,15.6,Student,0.5,0.2,0.06451612903225806,0.0,0.0625,0.8518518518518516
36,Lenovo Legion 5 Pro,40000000,AMD Ryzen 7 7840HS,32,NVIDIA RTX 4060,80,16.0,Gaming,0.8,1.0,0.7419354838709677,1.0,0.7916666666666666,1.0
37,Microsoft Surface Laptop 5,31000000,Intel Core i7-1265U,16,Intel Iris Xe,47,13.5,Office,0.8,0.3,0.45161290322580644,0.3333333333333333,0.10416666666666667,0.07407407407407383
38,MSI Prestige 14 Evo,32000000,Intel Core i7-13620H,16,Intel Iris Xe,62,14.0,Office,0.8,0.3,0.4838709677419355,0.3333333333333333,0.4166666666666667,0.2592592592592591
39,LG Gram 16,48000000,Intel Core i7-1365U,16,Intel Iris Xe,80,16.0,Business,0.8,0.3,1.0,0.3333333333333333,0.7916666666666666,1.0
40,Samsung Galaxy Book3 Pro,34000000,Intel Core i7-1360P,16,Intel Iris Xe,68,15.6,Office,0.8,0.3,0.5483870967741935,0.3333333333333333,0.5416666666666666,0.8518518518518516
41,Dell XPS 13 Plus,25000000,Intel Core i5-1340P,16,Intel Iris Xe,52,13.4,Office,0.5,0.3,0.25806451612903225,0.3333333333333333,0.20833333333333334,0.03703703703703692
42,Dell XPS 15,46000000,Intel Core i7-13700H,16,NVIDIA RTX 4050,86,15.6,Designer,0.8,1.0,0.9354838709677419,0.3333333333333333,0.9166666666666666,0.8518518518518516
43,Apple MacBook Air M3,17000000,Apple M3,16,Apple Integrated,52,13.6,Student,0.9,0.2,0.0,0.3333333333333333,0.20833333333333334,0.11111111111111074
44,Apple MacBook Pro M3,43000000,Apple M3 Pro,32,Apple Integrated,70,14.2,Business,0.9,0.2,0.8387096774193549,1.0,0.5833333333333334,0.33333333333333287
45,Acer Aspire 5,19000000,Intel Core i3-1215U,8,Intel UHD,48,15.6,Student,0.3,0.2,0.06451612903225806,0.0,0.125,0.8518518518518516
46,Acer Swift 3,30000000,AMD Ryzen 5 7530U,16,AMD Radeon,56,14.0,Office,0.5,0.2,0.41935483870967744,0.3333333333333333,0.2916666666666667,0.2592592592592591
47,Acer Nitro 5,41000000,Intel Core i5-12500H,16,NVIDIA RTX 3050,57,15.6,Gaming,0.5,0.8,0.7741935483870968,0.3333333333333333,0.3125,0.8518518518518516
48,Asus Vivobook 15,22000000,Intel Core i5-1235U,8,Intel Iris Xe,42,15.6,Student,0.5,0.3,0.16129032258064516,0.0,0.0,0.8518518518518516
49,Asus ROG Strix G16,43000000,AMD Ryzen 9 7945HX,32,NVIDIA RTX 4070,90,16.0,Gaming,1.0,1.0,0.8387096774193549,1.0,1.0,1.0
50,Asus Zenbook 14,34000000,Intel Core i7-1360P,16,Intel Iris Xe,67,14.0,Office,0.8,0.3,0.5483870967741935,0.3333333333333333,0.5208333333333334,0.2592592592592591
51,HP Pavilion 14,25000000,Intel Core i5-1240P,8,Intel Iris Xe,50,14.0,Office,0.5,0.3,0.25806451612903225,0.0,0.16666666666666666,0.2592592592592591
52,HP ENVY 13,41000000,Intel Core i7-1365U,16,Intel Iris Xe,51,13.3,Business,0.8,0.3,0.7741935483870968,0.3333333333333333,0.1875,0.0
53,HP Omen 16,37000000,Intel Core i7-13700HX,32,NVIDIA RTX 4060,83,16.0,Gaming,0.8,1.0,0.6451612903225806,1.0,0.8541666666666666,1.0
54,Lenovo ThinkPad X1 Carbon Gen 11,43000000,Intel Core i7-1365U,16,Intel Iris Xe,57,14.0,Business,0.8,0.3,0.8387096774193549,0.3333333333333333,0.3125,0.2592592592592591
55,Lenovo IdeaPad 3,19000000,AMD Ryzen 5 5500U,8,AMD Radeon,45,15.6,Student,0.5,0.2,0.06451612903225806,0.0,0.0625,0.8518518518518516
56,Lenovo Legion 5 Pro,40000000,AMD Ryzen 7 7840HS,32,NVIDIA RTX 4060,80,16.0,Gaming,0.8,1.0,0.7419354838709677,1.0,0.7916666666666666,1.0
57,Microsoft Surface Laptop 5,31000000,Intel Core i7-1265U,16,Intel Iris Xe,47,13.5,Office,0.8,0.3,0.45161290322580644,0.3333333333333333,0.10416666666666667,0.07407407407407383
58,MSI Prestige 14 Evo,32000000,Intel Core i7-13620H,16,Intel Iris Xe,62,14.0,Office,0.8,0.3,0.4838709677419355,0.3333333333333333,0.4166666666666667,0.2592592592592591
59,LG Gram 16,48000000,Intel Core i7-1365U,16,Intel Iris Xe,80,16.0,Business,0.8,0.3,1.0,0.3333333333333333,0.7916666666666666,1.0
60,Samsung Galaxy Book3 Pro,34000000,Intel Core i7-1360P,16,Intel Iris Xe,68,15.6,Office,0.8,0.3,0.5483870967741935,0.3333333333333333,0.5416666666666666,0.8518518518518516
61,Dell XPS 13 Plus,25000000,Intel Core i5-1340P,16,Intel Iris Xe,52,13.4,Office,0.5,0.3,0.25806451612903225,0.3333333333333333,0.20833333333333334,0.03703703703703692
62,Dell XPS 15,46000000,Intel Core i7-13700H,16,NVIDIA RTX 4050,86,15.6,Designer,0.8,1.0,0.9354838709677419,0.3333333333333333,0.9166666666666666,0.8518518518518516
63,Apple MacBook Air M3,17000000,Apple M3,16,Apple Integrated,52,13.6,Student,0.9,0.2,0.0,0.3333333333333333,0.20833333333333334,0.11111111111111074
64,Apple MacBook Pro M3,43000000,Apple M3 Pro,32,Apple Integrated,70,14.2,Business,0.9,0.2,0.8387096774193549,1.0,0.5833333333333334,0.33333333333333287
65,Acer Aspire 5,19000000,Intel Core i3-1215U,8,Intel UHD,48,15.6,Student,0.3,0.2,0.06451612903225806,0.0,0.125,0.8518518518518516
66,Acer Swift 3,30000000,AMD Ryzen 5 7530U,16,AMD Radeon,56,14.0,Office,0.5,0.2,0.41935483870967744,0.3333333333333333,0.2916666666666667,0.2592592592592591
67,Acer Nitro 5,41000000,Intel Core i5-12500H,16,NVIDIA RTX 3050,57,15.6,Gaming,0.5,0.8,0.7741935483870968,0.3333333333333333,0.3125,0.8518518518518516
68,Asus Vivobook 15,22000000,Intel Core i5-1235U,8,Intel Iris Xe,42,15.6,Student,0.5,0.3,0.16129032258064516,0.0,0.0,0.8518518518518516
69,Asus ROG Strix G16,43000000,AMD Ryzen 9 7945HX,32,NVIDIA RTX 4070,90,16.0,Gaming,1.0,1.0,0.8387096774193549,1.0,1.0,1.0
70,Asus Zenbook 14,34000000,Intel Core i7-1360P,16,Intel Iris Xe,67,14.0,Office,0.8,0.3,0.5483870967741935,0.3333333333333333,0.5208333333333334,0.2592592592592591
71,HP Pavilion 14,25000000,Intel Core i5-1240P,8,Intel Iris Xe,50,14.0,Office,0.5,0.3,0.25806451612903225,0.0,0.16666666666666666,0.2592592592592591
72,HP ENVY 13,41000000,Intel Core i7-1365U,16,Intel Iris Xe,51,13.3,Business,0.8,0.3,0.7741935483870968,0.3333333333333333,0.1875,0.0
73,HP Omen 16,37000000,Intel Core i7-13700HX,32,NVIDIA RTX 4060,83,16.0,Gaming,0.8,1.0,0.6451612903225806,1.0,0.8541666666666666,1.0
74,Lenovo ThinkPad X1 Carbon Gen 11,43000000,Intel Core i7-1365U,16,Intel Iris Xe,57,14.0,Business,0.8,0.3,0.8387096774193549,0.3333333333333333,0.3125,0.2592592592592591
75,Lenovo IdeaPad 3,19000000,AMD Ryzen 5 5500U,8,AMD Radeon,45,15.6,Student,0.5,0.2,0.06451612903225806,0.0,0.0625,0.8518518518518516
76,Lenovo Legion 5 Pro,40000000,AMD Ryzen 7 7840HS,32,NVIDIA RTX 4060,80,16.0,Gaming,0.8,1.0,0.7419354838709677,1.0,0.7916666666666666,1.0
77,Microsoft Surface Laptop 5,31000000,Intel Core i7-1265U,16,Intel Iris Xe,47,13.5,Office,0.8,0.3,0.45161290322580644,0.3333333333333333,0.10416666666666667,0.07407407407407383
78,MSI Prestige 14 Evo,32000000,Intel Core i7-13620H,16,Intel Iris Xe,62,14.0,Office,0.8,0.3,0.4838709677419355,0.3333333333333333,0.4166666666666667,0.2592592592592591
79,LG Gram 16,48000000,Intel Core i7-1365U,16,Intel Iris Xe,80,16.0,Business,0.8,0.3,1.0,0.3333333333333333,0.7916666666666666,1.0
80,Samsung Galaxy Book3 Pro,34000000,Intel Core i7-1360P,16,Intel Iris Xe,68,15.6,Office,0.8,0.3,0.5483870967741935,0.3333333333333333,0.5416666666666666,0.8518518518518516
81,Dell XPS 13 Plus,25000000,Intel Core i5-1340P,16,Intel Iris Xe,52,13.4,Office,0.5,0.3,0.25806451612903225,0.3333333333333333,0.20833333333333334,0.03703703703703692
82,Dell XPS 15,46000000,Intel Core i7-13700H,16,NVIDIA RTX 4050,86,15.6,Designer,0.8,1.0,0.9354838709677419,0.3333333333333333,0.9166666666666666,0.8518518518518516
83,Apple MacBook Air M3,17000000,Apple M3,16,Apple Integrated,52,13.6,Student,0.9,0.2,0.0,0.3333333333333333,0.20833333333333334,0.11111111111111074
84,Apple MacBook Pro M3,43000000,Apple M3 Pro,32,Apple Integrated,70,14.2,Business,0.9,0.2,0.8387096774193549,1.0,0.5833333333333334,0.33333333333333287
85,Acer Aspire 5,19000000,Intel Core i3-1215U,8,Intel UHD,48,15.6,Student,0.3,0.2,0.06451612903225806,0.0,0.125,0.8518518518518516
86,Acer Swift 3,30000000,AMD Ryzen 5 7530U,16,AMD Radeon,56,14.0,Office,0.5,0.2,0.41935483870967744,0.3333333333333333,0.2916666666666667,0.2592592592592591
87,Acer Nitro 5,41000000,Intel Core i5-12500H,16,NVIDIA RTX 3050,57,15.6,Gaming,0.5,0.8,0.7741935483870968,0.3333333333333333,0.3125,0.8518518518518516
88,Asus Vivobook 15,22000000,Intel Core i5-1235U,8,Intel Iris Xe,42,15.6,Student,0.5,0.3,0.16129032258064516,0.0,0.0,0.8518518518518516
89,Asus ROG Strix G16,43000000,AMD Ryzen 9 7945HX,32,NVIDIA RTX 4070,90,16.0,Gaming,1.0,1.0,0.8387096774193549,1.0,1.0,1.0
90,Asus Zenbook 14,34000000,Intel Core i7-1360P,16,Intel Iris Xe,67,14.0,Office,0.8,0.3,0.5483870967741935,0.3333333333333333,0.5208333333333334,0.2592592592592591
91,HP Pavilion 14,25000000,Intel Core i5-1240P,8,Intel Iris Xe,50,14.0,Office,0.5,0.3,0.25806451612903225,0.0,0.16666666666666666,0.2592592592592591
92,HP ENVY 13,41000000,Intel Core i7-1365U,16,Intel Iris Xe,51,13.3,Business,0.8,0.3,0.7741935483870968,0.3333333333333333,0.1875,0.0
93,HP Omen 16,37000000,Intel Core i7-13700HX,32,NVIDIA RTX 4060,83,16.0,Gaming,0.8,1.0,0.6451612903225806,1.0,0.8541666666666666,1.0
94,Lenovo ThinkPad X1 Carbon Gen 11,43000000,Intel Core i7-1365U,16,Intel Iris Xe,57,14.0,Business,0.8,0.3,0.8387096774193549,0.3333333333333333,0.3125,0.2592592592592591
95,Lenovo IdeaPad 3,19000000,AMD Ryzen 5 5500U,8,AMD Radeon,45,15.6,Student,0.5,0.2,0.06451612903225806,0.0,0.0625,0.8518518518518516
96,Lenovo Legion 5 Pro,40000000,AMD Ryzen 7 7840HS,32,NVIDIA RTX 4060,80,16.0,Gaming,0.8,1.0,0.7419354838709677,1.0,0.7916666666666666,1.0
97,Microsoft Surface Laptop 5,31000000,Intel Core i7-1265U,16,Intel Iris Xe,47,13.5,Office,0.8,0.3,0.45161290322580644,0.3333333333333333,0.10416666666666667,0.07407407407407383
98,MSI Prestige 14 Evo,32000000,Intel Core i7-13620H,16,Intel Iris Xe,62,14.0,Office,0.8,0.3,0.4838709677419355,0.3333333333333333,0.4166666666666667,0.2592592592592591
99,LG Gram 16,48000000,Intel Core i7-1365U,16,Intel Iris Xe,80,16.0,Business,0.8,0.3,1.0,0.3333333333333333,0.7916666666666666,1.0
100,Samsung Galaxy Book3 Pro,34000000,Intel Core i7-1360P,16,Intel Iris Xe,68,15.6,Office,0.8,0.3,0.5483870967741935,0.3333333333333333,0.5416666666666666,0.8518518518518516
101,Dell XPS 13 Plus,25000000,Intel Core i5-1340P,16,Intel Iris Xe,52,13.4,Office,0.5,0.3,0.25806451612903225,0.3333333333333333,0.20833333333333334,0.03703703703703692
102,Dell XPS 15,46000000,Intel Core i7-13700H,16,NVIDIA RTX 4050,86,15.6,Designer,0.8,1.0,0.9354838709677419,0.3333333333333333,0.9166666666666666,0.8518518518518516
103,Apple MacBook Air M3,17000000,Apple M3,16,Apple Integrated,52,13.6,Student,0.9,0.2,0.0,0.3333333333333333,0.20833333333333334,0.11111111111111074
104,Apple MacBook Pro M3,43000000,Apple M3 Pro,32,Apple Integrated,70,14.2,Business,0.9,0.2,0.8387096774193549,1.0,0.5833333333333334,0.33333333333333287
105,Acer Aspire 5,19000000,Intel Core i3-1215U,8,Intel UHD,48,15.6,Student,0.3,0.2,0.06451612903225806,0.0,0.125,0.8518518518518516
106,Acer Swift 3,30000000,AMD Ryzen 5 7530U,16,AMD Radeon,56,14.0,Office,0.5,0.2,0.41935483870967744,0.3333333333333333,0.2916666666666667,0.2592592592592591
107,Acer Nitro 5,41000000,Intel Core i5-12500H,16,NVIDIA RTX 3050,57,15.6,Gaming,0.5,0.8,0.7741935483870968,0.3333333333333333,0.3125,0.8518518518518516
108,Asus Vivobook 15,22000000,Intel Core i5-1235U,8,Intel Iris Xe,42,15.6,Student,0.5,0.3,0.16129032258064516,0.0,0.0,0.8518518518518516
109,Asus ROG Strix G16,43000000,AMD Ryzen 9 7945HX,32,NVIDIA RTX 4070,90,16.0,Gaming,1.0,1.0,0.8387096774193549,1.0,1.0,1.0
110,Asus Zenbook 14,34000000,Intel Core i7-1360P,16,Intel Iris Xe,67,14.0,Office,0.8,0.3,0.5483870967741935,0.3333333333333333,0.5208333333333334,0.2592592592592591
111,HP Pavilion 14,25000000,Intel Core i5-1240P,8,Intel Iris Xe,50,14.0,Office,0.5,0.3,0.25806451612903225,0.0,0.16666666666666666,0.2592592592592591
112,HP ENVY 13,41000000,Intel Core i7-1365U,16,Intel Iris Xe,51,13.3,Business,0.8,0.3,0.7741935483870968,0.3333333333333333,0.1875,0.0
113,HP Omen 16,37000000,Intel Core i7-13700HX,32,NVIDIA RTX 4060,83,16.0,Gaming,0.8,1.0,0.6451612903225806,1.0,0.8541666666666666,1.0
114,Lenovo ThinkPad X1 Carbon Gen 11,43000000,Intel Core i7-1365U,16,Intel Iris Xe,57,14.0,Business,0.8,0.3,0.8387096774193549,0.3333333333333333,0.3125,0.2592592592592591
115,Lenovo IdeaPad 3,19000000,AMD Ryzen 5 5500U,8,AMD Radeon,45,15.6,Student,0.5,0.2,0.06451612903225806,0.0,0.0625,0.8518518518518516
116,Lenovo Legion 5 Pro,40000000,AMD Ryzen 7 7840HS,32,NVIDIA RTX 4060,80,16.0,Gaming,0.8,1.0,0.7419354838709677,1.0,0.7916666666666666,1.0
117,Microsoft Surface Laptop 5,31000000,Intel Core i7-1265U,16,Intel Iris Xe,47,13.5,Office,0.8,0.3,0.45161290322580644,0.3333333333333333,0.10416666666666667,0.07407407407407383
118,MSI Prestige 14 Evo,32000000,Intel Core i7-13620H,16,Intel Iris Xe,62,14.0,Office,0.8,0.3,0.4838709677419355,0.3333333333333333,0.4166666666666667,0.2592592592592591
119,LG Gram 16,48000000,Intel Core i7-1365U,16,Intel Iris Xe,80,16.0,Business,0.8,0.3,1.0,0.3333333333333333,0.7916666666666666,1.0
120,Samsung Galaxy Book3 Pro,34000000,Intel Core i7-1360P,16,Intel Iris Xe,68,15.6,Office,0.8,0.3,0.5483870967741935,0.3333333333333333,0.5416666666666666,0.8518518518518516
121,Dell XPS 13 Plus,25000000,Intel Core i5-1340P,16,Intel Iris Xe,52,13.4,Office,0.5,0.3,0.25806451612903225,0.3333333333333333,0.20833333333333334,0.03703703703703692
122,Dell XPS 15,46000000,Intel Core i7-13700H,16,NVIDIA RTX 4050,86,15.6,Designer,0.8,1.0,0.9354838709677419,0.3333333333333333,0.9166666666666666,0.8518518518518516
123,Apple MacBook Air M3,17000000,Apple M3,16,Apple Integrated,52,13.6,Student,0.9,0.2,0.0,0.3333333333333333,0.20833333333333334,0.11111111111111074
124,Apple MacBook Pro M3,43000000,Apple M3 Pro,32,Apple Integrated,70,14.2,Business,0.9,0.2,0.8387096774193549,1.0,0.5833333333333334,0.33333333333333287
125,Acer Aspire 5,19000000,Intel Core i3-1215U,8,Intel UHD,48,15.6,Student,0.3,0.2,0.06451612903225806,0.0,0.125,0.8518518518518516
126,Acer Swift 3,30000000,AMD Ryzen 5 7530U,16,AMD Radeon,56,14.0,Office,0.5,0.2,0.41935483870967744,0.3333333333333333,0.2916666666666667,0.2592592592592591
127,Acer Nitro 5,41000000,Intel Core i5-12500H,16,NVIDIA RTX 3050,57,15.6,Gaming,0.5,0.8,0.7741935483870968,0.3333333333333333,0.3125,0.8518518518518516
128,Asus Vivobook 15,22000000,Intel Core i5-1235U,8,Intel Iris Xe,42,15.6,Student,0.5,0.3,0.16129032258064516,0.0,0.0,0.8518518518518516
129,Asus ROG Strix G16,43000000,AMD Ryzen 9 7945HX,32,NVIDIA RTX 4070,90,16.0,Gaming,1.0,1.0,0.8387096774193549,1.0,1.0,1.0
130,Asus Zenbook 14,34000000,Intel Core i7-1360P,16,Intel Iris Xe,67,14.0,Office,0.8,0.3,0.5483870967741935,0.3333333333333333,0.5208333333333334,0.2592592592592591
131,HP Pavilion 14,25000000,Intel Core i5-1240P,8,Intel Iris Xe,50,14.0,Office,0.5,0.3,0.25806451612903225,0.0,0.16666666666666666,0.2592592592592591
132,HP ENVY 13,41000000,Intel Core i7-1365U,16,Intel Iris Xe,51,13.3,Business,0.8,0.3,0.7741935483870968,0.3333333333333333,0.1875,0.0
133,HP Omen 16,37000000,Intel Core i7-13700HX,32,NVIDIA RTX 4060,83,16.0,Gaming,0.8,1.0,0.6451612903225806,1.0,0.8541666666666666,1.0
134,Lenovo ThinkPad X1 Carbon Gen 11,43000000,Intel Core i7-1365U,16,Intel Iris Xe,57,14.0,Business,0.8,0.3,0.8387096774193549,0.3333333333333333,0.3125,0.2592592592592591
135,Lenovo IdeaPad 3,19000000,AMD Ryzen 5 5500U,8,AMD Radeon,45,15.6,Student,0.5,0.2,0.06451612903225806,0.0,0.0625,0.8518518518518516
136,Lenovo Legion 5 Pro,40000000,AMD Ryzen 7 7840HS,32,NVIDIA RTX 4060,80,16.0,Gaming,0.8,1.0,0.7419354838709677,1.0,0.7916666666666666,1.0
137,Microsoft Surface Laptop 5,31000000,Intel Core i7-1265U,16,Intel Iris Xe,47,13.5,Office,0.8,0.3,0.45161290322580644,0.3333333333333333,0.10416666666666667,0.07407407407407383
138,MSI Prestige 14 Evo,32000000,Intel Core i7-13620H,16,Intel Iris Xe,62,14.0,Office,0.8,0.3,0.4838709677419355,0.3333333333333333,0.4166666666666667,0.2592592592592591
139,LG Gram 16,48000000,Intel Core i7-1365U,16,Intel Iris Xe,80,16.0,Business,0.8,0.3,1.0,0.3333333333333333,0.7916666666666666,1.0
140,Samsung Galaxy Book3 Pro,34000000,Intel Core i7-1360P,16,Intel Iris Xe,68,15.6,Office,0.8,0.3,0.5483870967741935,0.3333333333333333,0.5416666666666666,0.8518518518518516
141,Dell XPS 13 Plus,25000000,Intel Core i5-1340P,16,Intel Iris Xe,52,13.4,Office,0.5,0.3,0.25806451612903225,0.3333333333333333,0.20833333333333334,0.03703703703703692
142,Dell XPS 15,46000000,Intel Core i7-13700H,16,NVIDIA RTX 4050,86,15.6,Designer,0.8,1.0,0.9354838709677419,0.3333333333333333,0.9166666666666666,0.8518518518518516
143,Apple MacBook Air M3,17000000,Apple M3,16,Apple Integrated,52,13.6,Student,0.9,0.2,0.0,0.3333333333333333,0.20833333333333334,0.11111111111111074
144,Apple MacBook Pro M3,43000000,Apple M3 Pro,32,Apple Integrated,70,14.2,Business,0.9,0.2,0.8387096774193549,1.0,0.5833333333333334,0.33333333333333287
145,Acer Aspire 5,19000000,Intel Core i3-1215U,8,Intel UHD,48,15.6,Student,0.3,0.2,0.06451612903225806,0.0,0.125,0.8518518518518516
146,Acer Swift 3,30000000,AMD Ryzen 5 7530U,16,AMD Radeon,56,14.0,Office,0.5,0.2,0.41935483870967744,0.3333333333333333,0.2916666666666667,0.2592592592592591
147,Acer Nitro 5,41000000,Intel Core i5-12500H,16,NVIDIA RTX 3050,57,15.6,Gaming,0.5,0.8,0.7741935483870968,0.3333333333333333,0.3125,0.8518518518518516
148,Asus Vivobook 15,22000000,Intel Core i5-1235U,8,Intel Iris Xe,42,15.6,Student,0.5,0.3,0.16129032258064516,0.0,0.0,0.8518518518518516
149,Asus ROG Strix G16,43000000,AMD Ryzen 9 7945HX,32,NVIDIA RTX 4070,90,16.0,Gaming,1.0,1.0,0.8387096774193549,1.0,1.0,1.0
150,Asus Zenbook 14,34000000,Intel Core i7-1360P,16,Intel Iris Xe,67,14.0,Office,0.8,0.3,0.5483870967741935,0.3333333333333333,0.5208333333333334,0.2592592592592591
